AccessLevel,licenseGroupNames,groupsNames,sharedMailboxes,distributionLists
BRIBIE ISLAND-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Bribie,a.bribie@seasonsliving.com.au,
CALOUNDRA-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Caloundra,a.caloundra@seasonsliving.com.au,
EASTERN HEIGHTS-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Eastern Heights,a.eheights@seasonsliving.com.au,
KALLANGUR-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Kallangur,a.kallangur@seasonsliving.com.au,
MANGO HILL-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Mango Hill,a.mangohill@seasonsliving.com.au,
REDBANK PLAINS-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Redbank,a.redbank@seasonsliving.com.au,
SINNAMON PARK-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Sinnamon Park,a.sinnamon@seasonsliving.com.au,
WATERFORD WEST-ADMINISTRATION,SG.License.M365BusinessPremium,Voicemail - Waterford,a.waterford@seasonsliving.com.au,
BRIBIE ISLAND-BUS DRIVER,SG.License.OfficeF3,,,
CALOUNDRA-BUS DRIVER,SG.License.OfficeF3,,,
EASTERN HEIGHTS-BUS DRIVER,SG.License.OfficeF3,,,
KALLANGUR-BUS DRIVER,SG.License.OfficeF3,,,
MANGO HILL-BUS DRIVER,SG.License.OfficeF3,,,
REDBANK PLAINS-BUS DRIVER,SG.License.OfficeF3,,,
SINNAMON PARK-BUS DRIVER,SG.License.OfficeF3,,,
WATERFORD WEST-BUS DRIVER,SG.License.OfficeF3,,,
BRIBIE ISLAND-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.bribie@seasonsliving.com.au,Care Team
CALOUNDRA-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.caloundra@seasonsliving.com.au,Care Team
EASTERN HEIGHTS-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,,Care Team
KALLANGUR-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.kallangur@seasonsliving.com.au,Care Team
MANGO HILL-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.mangohill@seasonsliving.com.au,Care Team
REDBANK PLAINS-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.redbank@seasonsliving.com.au,Care Team
SINNAMON PARK-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.sinnamon@seasonsliving.com.au,Care Team
WATERFORD WEST-CARE COORDINATOR,SG.License.M365BusinessPremium,Seasons Care,care.waterford@seasonsliving.com.au,Care Team
BRIBIE ISLAND-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,care.bribie@seasonsliving.com.au;clinical.bribie@seasonsliving.com.au,Care Managers;Care Team
CALOUNDRA-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,care.caloundra@seasonsliving.com.au;clinical.caloundra@seasonsliving.com.au,Care Managers;Care Team
EASTERN HEIGHTS-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,,Care Managers;Care Team
KALLANGUR-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,care.kallangur@seasonsliving.com.au;clinical.kallangur@seasonsliving.com.au,Care Managers;Care Team
MANGO HILL-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,care.mangohill@seasonsliving.com.au;clinical.mangohill@seasonsliving.com.au;clinical.mangocaresuites@seasonsliving.com.au,Care Managers;Care Team
REDBANK PLAINS-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,clinical.redbank@seasonsliving.com.au,Care Managers;Care Team
SINNAMON PARK-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,care.sinnamon@seasonsliving.com.au;clinical.sinnamon@seasonsliving.com.au,Care Managers;Care Team
WATERFORD WEST-CARE MANAGER,SG.License.M365BusinessPremium,Community Management;Seasons Care,care.waterford@seasonsliving.com.au;clinical.waterford@seasonsliving.com.au,Care Managers;Care Team
BRIBIE ISLAND-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
CALOUNDRA-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
EASTERN HEIGHTS-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
KALLANGUR-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
MANGO HILL-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
REDBANK PLAINS-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
SINNAMON PARK-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
WATERFORD WEST-CARE SERVICES SCHEDULER,SG.License.M365BusinessPremium,Seasons Care,,Care Team
BRIBIE ISLAND-CHEF,SG.License.OfficeF3,,h.bribie@seasonsliving.com.au,
CALOUNDRA-CHEF,SG.License.OfficeF3,,h.caloundra@seasonsliving.com.au,
EASTERN HEIGHTS-CHEF,SG.License.OfficeF3,,,
KALLANGUR-CHEF,SG.License.OfficeF3,,h.kallangur@seasonsliving.com.au,
MANGO HILL-CHEF,SG.License.OfficeF3,,h.mangohill@seasonsliving.com.au,
REDBANK PLAINS-CHEF,SG.License.OfficeF3,,h.redbank@seasonsliving.com.au,
SINNAMON PARK-CHEF,SG.License.OfficeF3,,h.sinnamon@seasonsliving.com.au,
WATERFORD WEST-CHEF,SG.License.OfficeF3,,h.waterford@seasonsliving.com.au,
BRIBIE ISLAND-CLEANER,SG.License.OfficeF3,,,
CALOUNDRA-CLEANER,SG.License.OfficeF3,,,
EASTERN HEIGHTS-CLEANER,SG.License.OfficeF3,,,
KALLANGUR-CLEANER,SG.License.OfficeF3,,,
MANGO HILL-CLEANER,SG.License.OfficeF3,,,
REDBANK PLAINS-CLEANER,SG.License.OfficeF3,,,
SINNAMON PARK-CLEANER,SG.License.OfficeF3,,,
WATERFORD WEST-CLEANER,SG.License.OfficeF3,,,
BRIBIE ISLAND-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.bribie@seasonsliving.com.au,Community Managers
CALOUNDRA-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.caloundra@seasonsliving.com.au,Community Managers
EASTERN HEIGHTS-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.eheights@seasonsliving.com.au,Community Managers
KALLANGUR-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.kallangur@seasonsliving.com.au,Community Managers
MANGO HILL-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.mangohill@seasonsliving.com.au,Community Managers
REDBANK PLAINS-COMMUNITY MANAGEMENT,SG.License.M365BusinessPremium,Community Management;Seasons Care,a.redbank@seasonsliving.com.au,Community Managers
